	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
c.eh10#cL.othliabshare	0.0732	-0.0314	-0.0951	0.0932	0.00270	0.105	0.718**	1.123***	0.361***	0.324***	-0.0597	0.176*	0.465***	0.451***
	(0.0829)	(0.0855)	(0.248)	(0.248)	(0.0905)	(0.0880)	(0.288)	(0.274)	(0.0969)	(0.0972)	(0.104)	(0.100)	(0.104)	(0.102)
c.eh10#cL.demanddepshare	0.152***	0.182***	0.185***	0.199***	0.241***	0.164***	0.139***	0.108**	0.206***	0.202***	0.173***	0.170***	0.224***	0.207***
	(0.0298)	(0.0269)	(0.0484)	(0.0457)	(0.0297)	(0.0260)	(0.0503)	(0.0483)	(0.0220)	(0.0182)	(0.0313)	(0.0281)	(0.0197)	(0.0172)
c.eh10#cL.savingdepshare	-0.0166	0.0957***	-0.0255	-0.00222	0.0797***	0.0309	-0.120*	-0.115*	-0.0454*	0.0119	0.0324	0.0445*	-0.00294	0.00394
	(0.0347)	(0.0325)	(0.0508)	(0.0475)	(0.0275)	(0.0240)	(0.0633)	(0.0599)	(0.0269)	(0.0232)	(0.0307)	(0.0263)	(0.0213)	(0.0191)
c.eh10#cL.lnassets	0.0104**	0.00173	0.0215***	0.0139**	0.0109*	0.0189***	0.0451**	0.0729***	0.0335***	0.0161***	0.0171***	0.00854**	0.0318***	0.0257***
	(0.00477)	(0.00436)	(0.00734)	(0.00572)	(0.00562)	(0.00478)	(0.0200)	(0.0173)	(0.00453)	(0.00394)	(0.00483)	(0.00423)	(0.00405)	(0.00358)
1L.madummy#c.eh10	-0.0323	-0.201**	0.0286	-0.141	-0.0375	-0.0552	-1.380	-1.083*	-0.509***	-0.349**	-0.00599	-0.0154	-0.503***	-0.639***
	(0.0632)	(0.0979)	(0.0788)	(0.128)	(0.0438)	(0.0450)	(1.059)	(0.583)	(0.183)	(0.164)	(0.0394)	(0.0458)	(0.168)	(0.180)
dloggdp	0.0333*	-0.0558***	0.0609**	-0.0490*	-0.0713***	-0.0852***	0.143***	0.0344	0.00395	-0.0807***	-0.00960	-0.0378**	-0.0332**	-0.0909***
	(0.0172)	(0.0188)	(0.0259)	(0.0263)	(0.0197)	(0.0197)	(0.0278)	(0.0286)	(0.0157)	(0.0135)	(0.0181)	(0.0179)	(0.0152)	(0.0160)
unempgap	2.56e-05	-0.00133***	-0.000689	-0.00272***	-0.000768	-0.00195***	-3.63e-05	-0.00213***	-0.000355	-0.00233***	-0.000601	-0.000608	-0.00107***	-0.00249***
	(0.000470)	(0.000460)	(0.000685)	(0.000630)	(0.000532)	(0.000461)	(0.000690)	(0.000665)	(0.000397)	(0.000315)	(0.000549)	(0.000504)	(0.000370)	(0.000328)
dlogdef	-0.133**	-0.0218	-0.412***	-0.476***	-0.167***	-0.0638	-0.525***	-0.579***	-0.467***	-0.328***	-0.431***	-0.229***	-0.440***	-0.343***
	(0.0556)	(0.0425)	(0.0826)	(0.0675)	(0.0586)	(0.0444)	(0.0750)	(0.0704)	(0.0443)	(0.0332)	(0.0652)	(0.0519)	(0.0363)	(0.0326)
dhi	-0.0265**	0.00958	-0.0148	0.00731	-0.0195*	-0.000829	0.00756	0.0758***	0.0112	0.0306***	-0.0631***	0.0153	0.00984	0.0359***
	(0.0113)	(0.00920)	(0.0165)	(0.0131)	(0.0105)	(0.00882)	(0.0162)	(0.0136)	(0.00790)	(0.00640)	(0.0150)	(0.0131)	(0.00804)	(0.00703)
vix	-0.000214***	-0.000366***	-0.000214***	-0.000344***	-0.000327***	-0.000471***	-0.000188***	-0.000297***	-0.000253***	-0.000460***	-0.000336***	-0.000599***	-0.000315***	-0.000443***
	(4.08e-05)	(4.64e-05)	(6.02e-05)	(6.34e-05)	(4.77e-05)	(4.63e-05)	(6.19e-05)	(7.04e-05)	(3.34e-05)	(3.36e-05)	(5.37e-05)	(5.67e-05)	(2.98e-05)	(3.12e-05)
dlogspy	-0.00191	0.00294	-0.0129***	-0.00290	0.00879***	0.0111***	-0.0135***	-0.00366	-0.000403	0.00918***	0.00135	-0.00516	0.00174	0.00936***
	(0.00241)	(0.00263)	(0.00365)	(0.00384)	(0.00275)	(0.00266)	(0.00413)	(0.00439)	(0.00233)	(0.00215)	(0.00360)	(0.00368)	(0.00221)	(0.00222)
bbb10spr	0.00417***	0.00471***	0.00608***	0.00767***	0.00459***	0.00610***	0.00496***	0.00676***	0.00569***	0.00794***	0.00543***	0.00738***	0.00529***	0.00762***
	(0.000761)	(0.000795)	(0.00111)	(0.00111)	(0.000778)	(0.000746)	(0.00118)	(0.00122)	(0.000621)	(0.000614)	(0.000999)	(0.000965)	(0.000581)	(0.000562)
Constant		0.146		0.488***		0.751***		2.111***		0.618***		0.647***		0.949***
		(0.129)		(0.168)		(0.172)		(0.452)		(0.115)		(0.127)		(0.0967)
														
Observations	70,013	72,172	65,661	67,896	69,459	71,088	67,360	69,956	296,744	305,629	56,938	57,937	353,682	363,566
Number of rssd9001	2,419	2,449	2,503	2,538	1,169	1,182	1,342	1,379	4,262	4,277	1,642	1,656	4,324	4,339
Standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
