	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample	DGMM: Full sample	SGMM: Full sample
																
	(0.000139)	(0.000106)	(0.000209)	(0.000163)	(0.000261)	(0.000179)	(0.000510)	(0.000340)	(9.36e-05)	(7.67e-05)	(0.000176)	(0.000106)	(8.45e-05)	(6.64e-05)	(8.45e-05)	(6.64e-05)
1L.madummy#c.eh10	-0.00824***	-0.00839***	-0.00306	-0.00886**	-0.00227	-0.00342**	0.000877	-0.00215	-0.00399	-0.00892***	-0.00264*	-0.00396***	-0.00790***	-0.0107***	-0.00790***	-0.0107***
	(0.00257)	(0.00282)	(0.00358)	(0.00365)	(0.00147)	(0.00173)	(0.0175)	(0.0209)	(0.00323)	(0.00305)	(0.00137)	(0.00131)	(0.00285)	(0.00302)	(0.00285)	(0.00302)
dloggdp	0.000685	0.000820	-0.00205**	-0.00182**	0.000662	-0.000574	-1.91e-06	-0.000505	-0.000577	-0.00123***	0.000385	-0.00113*	-0.000585	-0.00138***	-0.000585	-0.00138***
	(0.000574)	(0.000531)	(0.00104)	(0.000870)	(0.000643)	(0.000695)	(0.00112)	(0.000940)	(0.000429)	(0.000440)	(0.000717)	(0.000658)	(0.000373)	(0.000408)	(0.000373)	(0.000408)
unempgap	7.47e-05***	9.65e-05***	5.55e-05**	9.32e-05***	9.32e-05***	9.33e-05***	6.97e-05***	3.81e-05**	5.06e-05***	6.71e-05***	0.000141***	0.000133***	5.56e-05***	7.04e-05***	5.56e-05***	7.04e-05***
	(1.43e-05)	(1.06e-05)	(2.53e-05)	(1.69e-05)	(1.76e-05)	(1.38e-05)	(1.92e-05)	(1.63e-05)	(8.73e-06)	(6.61e-06)	(1.54e-05)	(1.34e-05)	(7.79e-06)	(5.95e-06)	(7.79e-06)	(5.95e-06)
dlogdef	-0.000148	-0.00360***	-0.00894***	-0.00672***	-0.00156	-0.00439***	-0.00649***	-0.00963***	-0.00575***	-0.00638***	-0.00605***	-0.00959***	-0.00553***	-0.00633***	-0.00553***	-0.00633***
	(0.00127)	(0.000914)	(0.00208)	(0.00145)	(0.00165)	(0.00119)	(0.00174)	(0.00152)	(0.000810)	(0.000562)	(0.00156)	(0.00113)	(0.000727)	(0.000541)	(0.000727)	(0.000541)
dhi	0.000499*	0.000717***	0.000269	0.00129***	0.000384	0.00105***	0.000397	0.00155***	0.000704***	0.00111***	0.00104**	0.00155***	0.000710***	0.00121***	0.000710***	0.00121***
	(0.000277)	(0.000187)	(0.000526)	(0.000291)	(0.000336)	(0.000266)	(0.000378)	(0.000267)	(0.000154)	(0.000109)	(0.000417)	(0.000315)	(0.000160)	(0.000109)	(0.000160)	(0.000109)
vix	2.44e-06**	1.39e-06	4.57e-06**	6.01e-06***	4.84e-07	6.11e-07	7.42e-06***	6.82e-06***	3.75e-06***	4.03e-06***	3.09e-07	1.35e-06	3.24e-06***	3.97e-06***	3.24e-06***	3.97e-06***
	(1.13e-06)	(1.15e-06)	(2.20e-06)	(2.10e-06)	(1.55e-06)	(1.51e-06)	(1.63e-06)	(1.72e-06)	(8.24e-07)	(9.11e-07)	(1.82e-06)	(1.74e-06)	(7.84e-07)	(8.90e-07)	(7.84e-07)	(8.90e-07)
dlogspy	5.81e-05	7.99e-05	0.000145	0.000234**	-2.63e-05	9.60e-05	0.000162	0.000139	9.06e-05*	0.000122**	-0.000353***	-0.000254**	7.79e-05	0.000143***	7.79e-05	0.000143***
