	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
c.dgs3mo#cL.loanshare	-0.00192***	-0.00225***	-0.00634***	-0.00475***	-0.00279***	-0.00207***	-0.00222**	-0.00118	-0.00258***	-0.00187***	-0.00284***	-0.00222***	-0.00325***	-0.00231***
	(0.000594)	(0.000447)	(0.00205)	(0.00157)	(0.000940)	(0.000724)	(0.00102)	(0.000795)	(0.000498)	(0.000404)	(0.000919)	(0.000801)	(0.000467)	(0.000373)
c.dgs3mo#cL.lnassets	-3.81e-05	-1.88e-05	-4.45e-05	-3.80e-05	0.000134	0.000250**	-0.000393	4.04e-05	5.33e-06	6.20e-05	0.000216*	0.000132	9.10e-05	8.21e-05
	(8.55e-05)	(7.19e-05)	(0.000143)	(0.000109)	(0.000179)	(0.000125)	(0.000408)	(0.000306)	(7.57e-05)	(5.83e-05)	(0.000121)	(8.05e-05)	(6.52e-05)	(5.32e-05)
1L.madummy#c.dgs3mo	0.000679	0.000711	-0.000552	-0.000771	-0.00233**	-0.00346***	0.000342	-0.00208	-0.00369***	-0.00296**	-0.00109	-0.000302	-0.00406***	-0.00389***
	(0.000916)	(0.000855)	(0.00157)	(0.00166)	(0.000983)	(0.00102)	(0.00639)	(0.00624)	(0.00137)	(0.00123)	(0.000882)	(0.000718)	(0.00149)	(0.00141)
c.eh10#cL.matgap	7.07e-05	4.48e-05	-0.000219	-0.000174	-1.40e-05	-7.40e-05*	2.59e-05	5.26e-06	-7.71e-05**	-4.72e-05*	-4.04e-05	-1.68e-05	-9.38e-05***	-7.16e-05***
	(5.21e-05)	(3.98e-05)	(0.000213)	(0.000181)	(5.35e-05)	(4.39e-05)	(9.35e-05)	(7.96e-05)	(3.41e-05)	(2.76e-05)	(4.82e-05)	(4.02e-05)	(2.96e-05)	(2.37e-05)
c.eh10#cL.othassetshare	-0.00379*	-0.00270	-0.00790**	-0.00572*	-0.00370	-0.00278	-0.00218	-0.000605	-0.00120	-0.000336	-0.00844***	-0.00347*	-0.00330***	-0.00120
	(0.00209)	(0.00176)	(0.00373)	(0.00309)	(0.00297)	(0.00251)	(0.00239)	(0.00166)	(0.00129)	(0.00112)	(0.00290)	(0.00205)	(0.00124)	(0.00104)
c.eh10#cL.othliabshare	-0.000800	0.00188	0.000887	0.00458	0.00427	0.00485*	0.00838	0.00347	0.00712***	0.00712***	-0.00155	0.000602	0.00838***	0.00921***
	(0.00241)	(0.00204)	(0.00756)	(0.00648)	(0.00306)	(0.00278)	(0.00750)	(0.00624)	(0.00222)	(0.00185)	(0.00355)	(0.00307)	(0.00214)	(0.00189)
c.eh10#cL.demanddepshare	-0.00141*	-0.00174***	-0.00139	-0.00201	0.00209**	0.00135*	-0.00241	-0.00243*	-0.000985*	-0.00154***	-0.000173	-0.00111	-0.000765	-0.00130***
	(0.000804)	(0.000638)	(0.00162)	(0.00133)	(0.00102)	(0.000816)	(0.00195)	(0.00143)	(0.000593)	(0.000504)	(0.000862)	(0.000721)	(0.000516)	(0.000426)
