Date,THREEFF0100.B,THREEFF0200.B,THREEFF0300.B,THREEFF0400.B,THREEFF0500.B,THREEFF0600.B,THREEFF0700.B,THREEFF0800.B,THREEFF0900.B,THREEFF1000.B,THREEFFTP0100.B,THREEFFTP0200.B,THREEFFTP0300.B,THREEFFTP0400.B,THREEFFTP0500.B,THREEFFTP0600.B,THREEFFTP0700.B,THREEFFTP0800.B,THREEFFTP0900.B,THREEFFTP1000.B,THREEFY0100.B,THREEFY0200.B,THREEFY0300.B,THREEFY0400.B,THREEFY0500.B,THREEFY0600.B,THREEFY0700.B,THREEFY0800.B,THREEFY0900.B,THREEFY1000.B,THREEFYTP0100.B,THREEFYTP0200.B,THREEFYTP0300.B,THREEFYTP0400.B,THREEFYTP0500.B,THREEFYTP0600.B,THREEFYTP0700.B,THREEFYTP0800.B,THREEFYTP0900.B,THREEFYTP1000.B
4 04 2011,0.707799971,1.797199965,2.804899931,3.612999916,4.233699799,4.71089983,5.086200237,5.39109993,5.647500038,5.869699955,0.163100004,0.26030001,0.453399986,0.704200029,0.965300024,1.211400032,1.433899999,1.632699966,1.810899973,1.971899986,0.301600009,0.774399996,1.288300037,1.772699952,2.205600023,2.585099936,2.916599989,3.207400084,3.464699984,3.694299936,0.108599998,0.156499997,0.220899999,0.309799999,0.414900005,0.527400017,0.641300023,0.753000021,0.860899985,0.963999987
5 04 2011,0.757700026,1.858700037,2.864300013,3.66689992,4.282400131,4.755400181,5.127500057,5.430099964,5.684800148,5.905600071,0.183200002,0.289999992,0.486000001,0.736500025,0.996399999,1.241299987,1.462800026,1.661000013,1.838700056,1.99940002,0.33039999,0.817600012,1.33739996,1.823699951,2.256700039,2.635400057,2.965800047,3.255500078,3.511699915,3.74029994,0.119599998,0.174799994,0.243599996,0.334899992,0.441300005,0.5546,0.668799996,0.780600011,0.888499975,0.991699994
6 04 2011,0.794499993,1.913300037,2.923399925,3.725600004,4.339300156,4.810200214,5.180399895,5.481400013,5.734600067,5.954100132,0.203299999,0.320600003,0.521300018,0.773500025,1.034000039,1.279000044,1.500499964,1.698500037,1.876199961,2.036799908,0.345699996,0.848999977,1.377500057,1.868600011,2.304100037,2.684200048,3.015399933,3.305399895,3.56159997,3.790100098,0.130600005,0.193399996,0.267100006,0.361600012,0.470200002,0.584800005,0.700100005,0.81279999,0.921199977,1.02489996
7 04 2011,0.774800003,1.906000018,2.92840004,3.739700079,4.359499931,4.83409977,5.206399918,5.508399963,5.761899948,5.981299877,0.204999998,0.324800014,0.529200017,0.785300016,1.048900008,1.296300054,1.519500017,1.718600035,1.896999955,2.058000088,0.323500007,0.83099997,1.365200043,1.861799955,2.302200079,2.686300039,3.020699978,3.31340003,3.571799994,3.802000046,0.131500006,0.195199996,0.270300001,0.36649999,0.476700008,0.592999995,0.709699988,0.823599994,0.933200002,1.037700057
8 04 2011,0.779999971,1.921300054,2.950099945,3.765300035,4.387199879,4.862800121,5.2354002,5.537199974,5.790500164,6.009399891,0.211700007,0.335700005,0.543099999,0.801400006,1.066699982,1.315299988,1.539299965,1.739099979,1.91779995,2.078999996,0.32190001,0.835399985,1.37440002,1.87469995,2.317800045,2.704099894,3.040100098,3.334000111,3.593199968,3.824100018,0.135199994,0.201499999,0.278699994,0.37650001,0.488200009,0.605599999,0.72329998,0.838,0.948300004,1.05340004
11 04 2011,0.781000018,1.925699949,2.957400084,3.774600029,4.397699833,4.874000072,5.246900082,5.548799992,5.802000046,6.020800114,0.213499993,0.338699996,0.547299981,0.806699991,1.072900057,1.322100043,1.546599984,1.746700048,1.925699949,2.087100029,0.321500003,0.836700022,1.377200007,1.878900051,2.323199987,2.710299969,3.047100067,3.341500044,3.601200104,3.832499981,0.136199996,0.203199998,0.280999988,0.379500002,0.491699994,0.609600008,0.727800012,0.842899978,0.953400016,1.058899999
12 04 2011,0.720600009,1.849599957,2.882200003,3.704799891,4.333499908,4.814400196,5.19080019,5.495399952,5.750699997,5.971199989,0.188500002,0.301600009,0.506200016,0.765299976,1.032299995,1.282600045,1.508000016,1.708699942,1.888000011,2.049700022,0.286900014,0.784099996,1.316699982,1.815299988,2.259000063,2.646500111,2.984100103,3.279599905,3.540400028,3.772700071,0.122500002,0.180399999,0.252600014,0.347799987,0.458200008,0.574999988,0.692499995,0.807200015,0.917500019,1.022799969
13 04 2011,0.685699999,1.803300023,2.836499929,3.662899971,4.295499802,4.779500008,5.158400059,5.464799881,5.721399784,5.94299984,0.171800002,0.276800007,0.478799999,0.737999976,1.006000042,1.257400036,1.48360002,1.684999943,1.864799976,2.026799917,0.270700008,0.754800022,1.281700015,1.778100014,2.221199989,2.608999968,2.947099924,3.243299961,3.504800081,3.737799883,0.113499999,0.165199995,0.233700007,0.326700002,0.435900003,0.552200019,0.669399977,0.783999979,0.894299984,0.999599993
14 04 2011,0.700999975,1.817000031,2.848799944,3.674200058,4.305900097,4.789400101,5.16779995,5.473899841,5.730199814,5.951499939,0.173800007,0.279199988,0.481400013,0.74059999,1.008900046,1.260400057,1.486899972,1.688599944,1.868600011,2.030900002,0.286500007,0.769999981,1.296200037,1.791900039,2.234400034,2.621700048,2.959399939,3.255199909,3.516400099,3.749000072,0.114600003,0.166899994,0.235599995,0.328900009,0.438199997,0.5546,0.671899974,0.786599994,0.897000015,1.002400041
15 04 2011,0.653299987,1.750699997,2.77940011,3.606800079,4.241700172,4.728300095,5.109300137,5.417500019,5.675600052,5.898499966,0.150299996,0.243900001,0.441199988,0.699000001,0.967100024,1.218899965,1.445700049,1.647600055,1.827900052,1.990300059,0.263500005,0.728999972,1.245900035,1.737100005,2.177400112,2.563699961,2.901200056,3.197099924,3.458499908,3.691600084,0.101800002,0.145400003,0.2086,0.298299998,0.405400008,0.520299971,0.636600018,0.75059998,0.860499978,0.965499997
